doc,exp,sent_t,chain_t,umap_t,hdbscan_t,cluster_t
4401,allow_hierarchical,0,0.011,0.251,,0.004
4402,allow_hierarchical,0,0.004,0.137,,0.003
4403,allow_hierarchical,0,0.014,0.4,,0.007
4404,allow_hierarchical,0,0.002,0.103,,0.003
4405,allow_hierarchical,0,0.004,0.21,,0.003
4406,allow_hierarchical,0,0.006,0.137,,0.003
4407,allow_hierarchical,0,0.003,0.148,,0.003
4408,allow_hierarchical,0,0.001,0.127,,0.003
4409,allow_hierarchical,0,0.001,0.082,,0.002
4410,allow_hierarchical,0,0.014,0.256,,0.003
4411,allow_hierarchical,0,0.006,0.118,,0.002
4412,allow_hierarchical,0,0.006,0.368,,0.005
4413,allow_hierarchical,0,0.005,0.147,,0.002
4414,allow_hierarchical,0,0.002,0.072,,0.001
4416,allow_hierarchical,0,0.003,0.184,,0.002
4417,allow_hierarchical,0,0.003,0.169,,0.002
4418,allow_hierarchical,0,0.001,0.096,,0.003
4419,allow_hierarchical,0,0.002,0.083,,0.003
4420,allow_hierarchical,0,0.008,0.228,,0.004
4421,allow_hierarchical,0,0.002,0.082,,0.002
4422,allow_hierarchical,0,0.002,0.092,,0.002
4423,allow_hierarchical,0,0.004,0.076,,0.003
4424,allow_hierarchical,0,0.006,0.098,,0.002
4425,allow_hierarchical,0,0.004,0.141,,0.003
4426,allow_hierarchical,0,0.002,0.078,,0.002
4427,allow_hierarchical,0,0.006,0.126,,0.002
4428,allow_hierarchical,0,0.003,0.142,,0.002
4429,allow_hierarchical,0,0.002,0.117,,0.002
4430,allow_hierarchical,0,0.004,0.213,,0.003
4431,allow_hierarchical,0,0.003,0.069,,0.002
4432,allow_hierarchical,0,0.002,0.119,,0.003
4433,allow_hierarchical,0,0.002,0.064,,0.002
4434,allow_hierarchical,0,0.001,0.068,,0.002
4435,allow_hierarchical,0,0.005,0.262,,0.005
4436,allow_hierarchical,0,0.003,0.156,,0.003
4437,allow_hierarchical,0,0.002,0.113,,0.002
4438,allow_hierarchical,0,0.001,0.087,,0.002
4439,allow_hierarchical,0,0.0,0.073,,0.002
4440,allow_hierarchical,0,0.031,0.983,,0.015
4441,allow_hierarchical,0,0.006,0.171,,0.003
4442,allow_hierarchical,0,0.005,0.092,,0.004
4443,allow_hierarchical,0,0.002,0.118,,0.007
4444,allow_hierarchical,0,0.0,0.059,,0.002
4445,allow_hierarchical,0,0.03,0.259,,0.003
4446,allow_hierarchical,0,0.018,0.261,,0.004
4447,allow_hierarchical,0,0.006,0.267,,0.004
4448,allow_hierarchical,0,0.026,0.371,,0.004
4449,allow_hierarchical,0,0.025,0.51,,0.008
4450,allow_hierarchical,0,0.004,0.14,,0.002
4451,allow_hierarchical,0,0.016,0.301,,0.006
4452,allow_hierarchical,0,0.003,0.093,,0.003
4453,allow_hierarchical,0,0.0,0.08,,0.002
4454,allow_hierarchical,0,0.0,0.058,,0.001
4455,allow_hierarchical,0,0.001,0.084,,0.002
4456,allow_hierarchical,0,0.001,0.084,,0.003
4457,allow_hierarchical,0,0.001,0.084,,0.002
4458,allow_hierarchical,0,0.003,0.169,,0.002
4459,allow_hierarchical,0,0.0,0.019,,0.002
4460,allow_hierarchical,0,0.0,0.06,,0.002
4461,allow_hierarchical,0,0.007,0.198,,0.003
4462,allow_hierarchical,0,0.0,0.092,,0.002
4463,allow_hierarchical,0,0.004,0.189,,0.004
4464,allow_hierarchical,0,0.003,0.156,,0.002
4465,allow_hierarchical,0,0.003,0.142,,0.004
4466,allow_hierarchical,0,0.372,0.317,,0.004
4467,allow_hierarchical,0,0.003,0.096,,0.003
4468,allow_hierarchical,0,0.003,0.186,,0.003
4469,allow_hierarchical,0,0.004,0.077,,0.002
4470,allow_hierarchical,0,0.005,0.244,,0.004
4471,allow_hierarchical,0,0.002,0.101,,0.003
4472,allow_hierarchical,0,0.001,0.093,,0.002
4473,allow_hierarchical,0,0.0,0.011,,0.002
4474,allow_hierarchical,0,0.002,0.109,,0.003
4475,allow_hierarchical,0,0.005,0.179,,0.004
4476,allow_hierarchical,0,0.003,0.179,,0.002
4477,allow_hierarchical,0,0.008,0.18,,0.003
4478,allow_hierarchical,0,0.002,0.066,,0.002
4479,allow_hierarchical,0,0.005,0.228,,0.003
4480,allow_hierarchical,0,0.001,0.11,,0.003
4481,allow_hierarchical,0,0.007,0.189,,0.003
4482,allow_hierarchical,0,0.002,0.146,,0.003
4483,allow_hierarchical,0,0.009,0.136,,0.003
4484,allow_hierarchical,0,0.008,0.236,,0.003
4485,allow_hierarchical,0,0.001,0.108,,0.002
4486,allow_hierarchical,0,0.0,0.042,,0.002
4487,allow_hierarchical,0,0.002,0.111,,0.002
4488,allow_hierarchical,0,0.004,0.139,,0.002
4489,allow_hierarchical,0,0.004,0.125,,0.003
