doc,exp,sent_t,chain_t,umap_t,hdbscan_t
231,mpnet,1.005,0.002,0.074,0.001
232,mpnet,1.506,0.007,0.092,0.002
233,mpnet,1.077,0.002,0.13,0.002
234,mpnet,2.246,0.007,0.072,0.002
235,mpnet,1.88,0.003,0.113,0.003
236,mpnet,4.952,0.01,0.166,0.002
237,mpnet,2.98,0.004,0.101,0.002
238,mpnet,4.774,0.003,0.123,0.003
239,mpnet,1.735,0.003,0.089,0.002
240,mpnet,1.146,0.003,0.159,0.005
241,mpnet,1.299,0.002,0.078,0.002
242,mpnet,2.307,0.004,0.237,0.004
243,mpnet,1.244,0.004,0.143,0.002
244,mpnet,4.226,0.019,0.259,0.004
245,mpnet,1.48,0.0,0.068,0.002
246,mpnet,1.387,0.001,0.086,0.002
247,mpnet,1.23,0.002,0.096,0.002
248,mpnet,1.332,0.003,0.067,0.002
249,mpnet,4.296,0.003,0.073,0.002
250,mpnet,1.91,0.003,0.126,0.002
251,mpnet,5.159,0.012,0.228,0.003
252,mpnet,3.294,0.003,0.099,0.002
253,mpnet,2.584,0.005,0.171,0.003
254,mpnet,1.5,0.0,0.067,0.002
255,mpnet,1.79,0.002,0.11,0.002
256,mpnet,0.627,0.0,0.069,0.002
257,mpnet,2.43,0.01,0.136,0.003
258,mpnet,6.67,0.016,0.261,0.003
259,mpnet,2.436,0.003,0.085,0.002
260,mpnet,2.976,0.005,0.088,0.003
261,mpnet,0.951,0.0,0.054,0.001
262,mpnet,0.741,0.0,0.046,0.002
263,mpnet,1.855,0.003,0.096,0.002
264,mpnet,4.305,0.016,0.318,0.004
265,mpnet,2.359,0.002,0.07,0.002
266,mpnet,2.215,0.007,0.11,0.002
267,mpnet,1.796,0.003,0.082,0.002
268,mpnet,1.668,0.002,0.122,0.002
269,mpnet,3.628,0.011,0.178,0.003
270,mpnet,1.893,0.005,0.181,0.003
271,mpnet,1.771,0.004,0.178,0.003
272,mpnet,1.703,0.004,0.185,0.003
273,mpnet,2.666,0.009,0.128,0.003
274,mpnet,1.889,0.002,0.119,0.002
275,mpnet,1.054,0.001,0.078,0.002
276,mpnet,1.156,0.003,0.096,0.002
277,mpnet,2.007,0.006,0.194,0.003
278,mpnet,3.985,0.005,0.086,0.002
279,mpnet,2.422,0.005,0.068,0.002
280,mpnet,0.653,0.001,0.083,0.002
281,mpnet,3.01,0.003,0.14,0.002
282,mpnet,2.484,0.007,0.162,0.003
283,mpnet,1.837,0.006,0.076,0.002
284,mpnet,2.708,0.006,0.188,0.004
285,mpnet,0.972,0.002,0.099,0.003
286,mpnet,4.273,0.006,0.201,0.003
287,mpnet,5.592,0.013,0.318,0.007
288,mpnet,3.633,0.002,0.069,0.002
289,mpnet,1.633,0.001,0.096,0.002
290,mpnet,2.53,0.003,0.081,0.002
291,mpnet,2.198,0.005,0.198,0.003
292,mpnet,2.366,0.004,0.077,0.002
293,mpnet,3.864,0.006,0.146,0.003
294,mpnet,3.758,0.045,0.255,0.004
295,mpnet,1.747,0.008,0.131,0.003
296,mpnet,3.803,0.008,0.165,0.003
297,mpnet,1.23,0.001,0.101,0.002
298,mpnet,3.54,0.011,0.499,0.008
299,mpnet,2.188,0.002,0.091,0.002
300,mpnet,2.355,0.001,0.106,0.002
301,mpnet,2.498,0.003,0.086,0.002
302,mpnet,1.007,0.003,0.092,0.004
303,mpnet,2.814,0.007,0.129,0.004
304,mpnet,2.887,0.01,0.215,0.005
305,mpnet,1.515,0.003,0.116,0.003
306,mpnet,1.759,0.001,0.092,0.002
307,mpnet,1.705,0.003,0.092,0.002
308,mpnet,0.658,0.0,0.071,0.002
309,mpnet,1.163,0.005,0.17,0.002
310,mpnet,0.989,0.002,0.071,0.002
311,mpnet,2.64,0.005,0.108,0.002
312,mpnet,2.151,0.005,0.184,0.003
313,mpnet,2.692,0.006,0.153,0.002
314,mpnet,4.008,0.004,0.127,0.002
315,mpnet,0.823,0.001,0.09,0.002
316,mpnet,0.313,0.0,0.013,0.001
317,mpnet,1.686,0.004,0.085,0.002
318,mpnet,3.321,0.01,0.151,0.002
319,mpnet,1.996,0.003,0.156,0.003
320,mpnet,1.328,0.004,0.1,0.002
321,mpnet,2.013,0.001,0.131,0.003
322,mpnet,0.82,0.002,0.087,0.003
