doc,exp,sent_t,chain_t,umap_t,cluster_t
325,mpnet,0,0.005,0.098,0.003
326,mpnet,0,0.005,0.222,0.004
327,mpnet,0,0.004,0.077,0.003
328,mpnet,0,0.0,0.056,0.002
329,mpnet,0,0.001,0.071,0.002
330,mpnet,0,0.005,0.08,0.002
331,mpnet,0,0.011,0.292,0.005
332,mpnet,0,0.004,0.064,0.001
333,mpnet,0,0.015,0.151,0.004
334,mpnet,0,0.008,0.217,0.004
335,mpnet,0,0.003,0.075,0.002
336,mpnet,0,0.005,0.13,0.003
337,mpnet,0,0.005,0.093,0.003
338,mpnet,0,0.009,0.165,0.002
339,mpnet,0,0.007,0.129,0.002
340,mpnet,0,0.001,0.077,0.002
341,mpnet,0,0.001,0.077,0.002
342,mpnet,0,0.0,0.068,0.001
343,mpnet,0,0.01,0.144,0.003
344,mpnet,0,0.004,0.075,0.002
345,mpnet,0,0.0,0.06,0.002
346,mpnet,0,0.004,0.086,0.003
347,mpnet,0,0.005,0.087,0.002
348,mpnet,0,0.004,0.105,0.003
350,mpnet,0,0.004,0.251,0.004
351,mpnet,0,0.001,0.068,0.002
352,mpnet,0,0.004,0.142,0.003
353,mpnet,0,0.002,0.072,0.002
354,mpnet,0,0.002,0.093,0.002
355,mpnet,0,0.004,0.134,0.002
356,mpnet,0,0.0,0.071,0.002
357,mpnet,0,0.005,0.085,0.003
358,mpnet,0,0.003,0.072,0.002
359,mpnet,0,0.001,0.101,0.002
360,mpnet,0,0.003,0.11,0.003
361,mpnet,0,0.001,0.077,0.002
362,mpnet,0,0.006,0.113,0.002
363,mpnet,0,0.005,0.096,0.002
364,mpnet,0,0.005,0.126,0.002
365,mpnet,0,0.007,0.175,0.002
366,mpnet,0,0.002,0.102,0.003
367,mpnet,0,0.001,0.083,0.002
368,mpnet,0,0.0,0.04,0.002
369,mpnet,0,0.008,0.276,0.004
370,mpnet,0,0.019,0.158,0.003
371,mpnet,0,0.005,0.135,0.003
372,mpnet,0,0.004,0.199,0.005
373,mpnet,0,0.0,0.066,0.002
374,mpnet,0,0.002,0.079,0.003
375,mpnet,0,0.004,0.078,0.002
376,mpnet,0,0.004,0.19,0.004
377,mpnet,0,0.002,0.07,0.002
378,mpnet,0,0.007,0.114,0.002
379,mpnet,0,0.006,0.13,0.003
380,mpnet,0,0.003,0.092,0.002
381,mpnet,0,0.01,0.188,0.002
382,mpnet,0,0.0,0.019,0.001
383,mpnet,0,0.001,0.081,0.002
384,mpnet,0,0.005,0.097,0.002
