idx,query,doc,score
107,3,4845,0.0
108,3,5506,0.0
109,3,5945,0.0
110,3,2533,0.0
111,3,2800,0.0
112,3,2955,0.0
113,3,2116,0.0
114,3,2706,0.0
115,3,6279,0.0
116,3,3180,0.0
117,3,343,0.0
118,3,1743,0.0
119,3,2131,0.0
120,3,3916,0.0
121,3,6248,0.0
122,3,161,0.0
123,3,1262,0.0
124,3,1736,0.0
125,3,1746,0.0
126,3,569,0.0
127,3,6307,0.0
128,3,6213,0.0
129,3,1409,0.0
130,3,3453,0.0
131,3,2807,0.0
132,3,1480,0.0
133,3,963,0.0
134,3,10,0.0
135,3,441,0.0
136,3,698,0.0
137,3,1128,0.0
138,3,1272,0.0
139,3,1762,0.0
140,3,3789,0.0
141,3,3955,0.0
142,3,6062,0.0
143,3,6154,0.0
144,3,6277,0.0
145,3,1192,0.0
146,3,737,0.0
147,3,4036,0.0
148,3,872,0.0
149,3,724,0.0
150,3,3889,0.0
151,3,673,0.0
152,3,1269,0.0
153,3,4931,0.0
154,3,1413,0.0
155,3,5264,0.0
156,3,666,0.0
157,3,3533,0.0
158,3,6406,0.0
159,3,386,0.0
160,3,5339,0.0
161,3,3994,0.0
162,3,3062,0.0
163,3,1478,0.0
164,3,69,0.0
165,3,1806,0.0
166,3,6349,0.0
167,3,426,0.0
168,3,2535,0.0
169,3,3215,0.0
170,3,5412,0.0
171,3,913,0.0
172,3,4191,0.0
173,3,2165,0.0
174,3,317,0.0
175,3,4765,0.0
176,3,5910,0.0
177,3,3202,0.0
178,3,4305,0.0
179,3,5853,0.0
180,3,631,0.0
181,3,3303,0.0
182,3,6611,0.0
183,3,1264,0.0
184,3,1872,0.0
185,3,1253,0.0
186,3,5418,0.0
187,3,5709,0.0
188,3,4313,0.0
189,3,6507,0.0
190,3,6445,0.0
191,3,4236,0.0
192,3,3419,0.0
193,3,5476,0.0
194,3,6377,0.0
195,3,2658,0.0
196,3,2681,0.0
197,3,2729,0.0
198,3,4863,0.0
199,3,6012,0.0
200,3,41,0.0
201,3,3487,0.0
202,3,3612,0.0
203,3,1594,0.0
204,3,1641,0.0
205,3,3020,0.0
206,3,1248,0.0
207,3,2622,0.0
208,3,32,0.0
209,3,1418,0.0
210,3,2003,0.0
211,3,4712,0.0
212,3,5430,0.0
213,3,3341,0.0
214,3,2017,0.0
215,3,4317,0.0
216,3,2149,0.0
217,3,5478,0.0
218,3,6028,0.0
219,3,58,0.0
220,3,5664,0.0
221,3,2609,0.0
222,3,4573,0.0
223,3,5483,0.0
224,3,4252,0.0
225,3,581,0.0
226,3,778,0.0
227,3,1757,0.0
228,3,3080,0.0
229,3,5918,0.0
230,3,6397,0.0
231,3,2791,0.0
232,3,3896,0.0
233,3,6362,0.0
234,3,5823,0.0
235,3,5827,0.0
236,3,3632,0.0
237,3,4962,0.0
238,3,1322,0.0
239,3,3966,0.0
240,3,4470,0.0
241,3,5313,0.0
242,3,3479,0.0
243,3,3762,0.0
244,3,3827,0.0
245,3,4889,0.0
246,3,5378,0.0
247,3,5775,0.0
248,3,3570,0.0
249,3,1275,0.0
250,3,602,0.0
251,3,2495,0.0
252,3,3588,0.0
253,3,4166,0.0
254,3,5168,0.0
255,3,5592,0.0
256,3,5686,0.0
257,3,5851,0.0
258,3,378,0.0
259,3,853,0.0
260,3,1235,0.0
261,3,1390,0.0
262,3,1721,0.0
263,3,2576,0.0
264,3,2657,0.0
265,3,3035,0.0
266,3,3191,0.0
267,3,3861,0.0
268,3,4822,0.0
269,3,115,0.0
270,3,1963,0.0
271,3,5714,0.0
272,3,1021,0.0
273,3,1113,0.0
274,3,5220,0.0
275,3,2051,0.0
276,3,1691,0.0
277,3,662,0.0
278,3,1479,0.0
279,3,1957,0.0
280,3,3275,0.0
281,3,4578,0.0
282,3,6375,0.0
283,3,4333,0.0
284,3,6255,0.0
285,3,4701,0.0
286,3,1175,0.0
287,3,6306,0.0
288,3,140,0.0
289,3,1308,0.0
290,3,4634,0.0
291,3,1550,0.0
292,3,1730,0.0
293,3,2993,0.0
294,3,4514,0.0
295,3,5777,0.0
296,3,1136,0.0
297,3,1431,0.0
298,3,3432,0.0
299,3,5246,0.0
300,3,6545,0.0
301,3,509,0.0
302,3,3937,0.0
303,3,3985,0.0
304,3,877,0.0
305,3,5657,0.0
306,3,5196,0.0
307,3,291,0.0
308,3,321,0.0
309,3,911,0.0
310,3,918,0.0
311,3,2463,0.0
312,3,3074,0.0
313,3,4612,0.0
314,3,6180,0.0
315,3,6304,0.0
316,3,838,0.0
